,0,Di
0,0.20245969182174947,0.20245969182174947
1,0.04118690930680968,0.04118690930680968
2,0.2347229770963849,0.2347229770963849
3,0.03995100602627008,0.03995100602627008
4,0.18761341191295283,0.18761341191295283
5,0.33580417219440095,0.33580417219440095
6,0.19847846607933098,0.19847846607933098
7,0.12399957619471991,0.12399957619471991
8,0.0483342914500808,0.0483342914500808
9,0.20809546507661586,0.20809546507661586
10,0.2582084026595966,0.2582084026595966
11,0.08143977783377387,0.08143977783377387
12,0.046701558558887225,0.046701558558887225
13,0.3587781556468268,0.3587781556468268
14,0.32110393803680615,0.32110393803680615
15,0.02328790930501163,0.02328790930501163
16,0.1580901270231069,0.1580901270231069
17,0.3459746435153584,0.3459746435153584
18,0.068503620180295,0.068503620180295
19,0.10862081361469864,0.10862081361469864
20,0.14977921326104243,0.14977921326104243
21,0.04349988628304823,0.04349988628304823
22,0.18705063392858473,0.18705063392858473
23,0.3778800004201823,0.3778800004201823
24,0.15130798503854445,0.15130798503854445
25,0.12078428831638899,0.12078428831638899
26,0.08260003947769533,0.08260003947769533
27,0.06344505729378445,0.06344505729378445
28,0.14004783035181143,0.14004783035181143
29,0.07491029822711964,0.07491029822711964
30,0.11959069077540269,0.11959069077540269
31,0.01336506822072748,0.01336506822072748
32,0.27693316473099766,0.27693316473099766
33,0.30810115244825786,0.30810115244825786
34,0.024191605851297253,0.024191605851297253
35,0.4316211715354546,0.4316211715354546
36,0.2103985731627502,0.2103985731627502
37,0.1721782387628577,0.1721782387628577
38,0.058833621544267564,0.058833621544267564
39,0.02170628463678824,0.02170628463678824
40,0.18653995935970202,0.18653995935970202
41,0.032575582656580296,0.032575582656580296
42,0.3904995647914516,0.3904995647914516
43,0.08629145188696391,0.08629145188696391
44,0.12369941285752437,0.12369941285752437
45,0.27931153909503437,0.27931153909503437
46,0.19070472448518838,0.19070472448518838
47,0.06406295751363986,0.06406295751363986
48,0.15932478524425192,0.15932478524425192
49,0.016265858152941175,0.016265858152941175
50,0.24389699320429242,0.24389699320429242
51,0.29551884624576635,0.29551884624576635
52,0.22816425378930322,0.22816425378930322
53,0.1784670239715308,0.1784670239715308
54,0.08482288924050332,0.08482288924050332
55,0.12009884037024084,0.12009884037024084
56,0.1960858625846564,0.1960858625846564
57,0.3169179186040838,0.3169179186040838
58,0.1644257239375521,0.1644257239375521
59,0.058882947774531985,0.058882947774531985
60,0.06914436177144558,0.06914436177144558
61,0.23418603736943167,0.23418603736943167
62,0.07904844735592376,0.07904844735592376
63,0.018092954637366508,0.018092954637366508
64,0.19314750425514385,0.19314750425514385
65,0.3102974476733292,0.3102974476733292
66,0.16820622768726015,0.16820622768726015
67,0.20161450413561788,0.20161450413561788
68,0.0626608470862453,0.0626608470862453
69,0.15907995837582503,0.15907995837582503
70,0.1492007851743983,0.1492007851743983
71,0.16367449716975296,0.16367449716975296
72,0.12219164886652079,0.12219164886652079
73,0.08077498045440791,0.08077498045440791
74,0.024296175079436256,0.024296175079436256
75,0.16650342394543696,0.16650342394543696
76,0.38621226019739563,0.38621226019739563
77,0.25260043447808905,0.25260043447808905
78,0.03371857364435325,0.03371857364435325
79,0.014134102746381225,0.014134102746381225
80,0.05519836390907638,0.05519836390907638
81,0.0664228680845661,0.0664228680845661
82,0.19873381419027508,0.19873381419027508
83,0.10321834128424846,0.10321834128424846
84,0.05474560399519682,0.05474560399519682
85,0.037644524015511015,0.037644524015511015
86,0.08298965272143005,0.08298965272143005
87,0.1339538448061925,0.1339538448061925
88,0.02668218287274202,0.02668218287274202
89,0.17845311853816986,0.17845311853816986
90,0.3311134389613121,0.3311134389613121
91,0.2190140273528596,0.2190140273528596
92,0.03184089947075146,0.03184089947075146
93,0.22152283316665125,0.22152283316665125
94,0.013038685385469604,0.013038685385469604
95,0.2301763651944047,0.2301763651944047
96,0.0685682662305004,0.0685682662305004
97,0.09638962736253498,0.09638962736253498
98,0.06930514720448655,0.06930514720448655
99,0.09378889659351317,0.09378889659351317
100,0.09886768688979444,0.09886768688979444
101,0.18023462342880717,0.18023462342880717
102,0.21710322541700042,0.21710322541700042
103,0.1786664466003,0.1786664466003
104,0.05186533336350324,0.05186533336350324
105,0.059664845718326295,0.059664845718326295
106,0.03650813043235448,0.03650813043235448
107,0.03191998420025657,0.03191998420025657
108,0.16961019735352953,0.16961019735352953
109,0.02872647857085563,0.02872647857085563
